N,P,K,ph,temperature,humidity,rainfall,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,elevation,slope,aspect,soil_Alluvial,soil_Black,soil_Clay,soil_Clay loam,soil_Laterite,soil_Loamy,soil_Sandy,soil_Sandy loam,label
0,18,14,7.207991261,29.77149434,92.00719952,114.41617859999998,0.7395,0.8364,1.1054,1.0045,23.2812,31.7047,37.8121,31.3441,18.8155,25.7504,30.3692,25.3898,11.1815,24.0659,56.9904,20.2337,437.0,0.090387,310.470645,1,0,0,0,0,0,0,0,16
9,122,201,5.570290539,29.58748357,80.91934392,68.06417307,0.6319,0.7339,0.9724,0.885,23.8916,31.0611,38.4246,31.4973,19.4535,25.1436,31.0277,25.5798,7.8468,12.6459,37.3305,10.9309,560.0,0.014456,117.732053,0,0,0,0,0,0,0,1,7
11,71,24,5.6066203460000015,21.14011423,22.7182355,141.6056722,0.182,0.1951,0.2731,0.2539,16.3209,21.406,26.7283,21.3607,13.1499,17.178,21.4433,17.1327,14.0658,27.1996,70.3047,29.7529,1266.0,0.826497,45.80533,0,0,0,1,0,0,0,0,9
38,38,18,6.294130312999999,26.31051759,61.18749126,35.73403813,0.4834,0.5661,0.7466,0.6496,21.1646,28.3257,34.3915,27.1726,17.218,23.0636,27.8139,21.9105,3.173,10.2916,15.9691,10.4925,369.0,0.109009,285.162771,0,0,0,0,0,1,0,0,13
18,12,8,6.206053072,12.59093977,91.81668769,119.39167179999998,0.7204,0.8342,1.0805,1.0025,9.1915,13.6585,17.1462,12.9557,7.3029,11.1403,13.9984,10.4375,13.086,26.0959,60.5967,24.9992,414.0,0.071012,115.833245,1,0,0,0,0,0,0,0,16
100,46,18,6.4316895060000006,24.18586246,76.04203958,69.08056728,0.5831,0.6883,0.9039,0.828,19.4674,25.1979,31.7014,26.2227,15.8395,20.3607,25.6549,21.3855,6.9026,13.4288,36.0093,11.022,88.0,0.210123,75.378398,1,0,0,0,0,0,0,0,6
83,79,55,5.565028635,25.14748006,83.34688193,98.66679427,0.6698,0.7553,0.9959,0.9213,19.8039,25.7077,33.2107,25.9508,16.0318,20.6782,26.9238,20.9213,9.6576,23.5778,46.4773,21.8796,820.0,0.15575,116.782791,0,0,0,1,0,0,0,0,1
6,13,9,7.786725333,34.51423957,90.56151463,118.32719679999998,0.7127,0.8061,1.0813,1.0153,27.8978,35.5876,45.5801,36.9421,22.7207,28.6847,36.9516,30.0393,9.3202,25.8739,59.1414,24.1842,268.0,0.155874,145.188767,0,0,0,0,0,0,0,1,16
36,133,198,6.2286454,25.51939719,83.98351748,69.17281221,0.6799,0.7515,1.0011,0.9198,20.5104,27.8841,33.7033,26.3789,16.6825,22.7803,27.3234,21.275,7.1188,12.0348,35.5774,17.6162,297.0,0.826423,75.188476,0,0,0,0,0,1,0,0,7
2,79,15,7.505283615,21.53577883,65.47227704,35.75107592,0.5097,0.5783,0.7978,0.723,16.7309,23.1404,28.517,22.5282,13.5006,18.8333,23.133,18.221,3.7293,5.9049,14.8892,6.9461,269.0,0.093152,226.706711,0,0,0,0,0,0,0,1,10
31,25,12,7.016482298,18.05142392,90.03969587,111.7793889,0.7263,0.8205,1.0646,0.9838,13.2462,18.8399,23.3602,19.6251,10.5385,15.2296,18.8473,16.0148,7.6079,23.8492,56.9087,20.7493,509.0,0.233141,315.671666,0,0,0,0,0,0,0,1,16
21,51,15,6.679127482,29.36488409,89.1886954,48.30159325,0.7354,0.8224,1.0806,0.9739,23.5273,31.3469,38.4478,30.5931,19.1226,25.4739,31.1066,24.7202,6.595,10.4148,27.0585,9.938,511.0,0.09414,141.861197,0,0,0,0,0,0,0,1,14
117,32,34,6.758792552,26.2724184,52.12739421,127.1752928,0.4123,0.454,0.6076,0.5768,21.127,27.8531,33.9877,26.592,17.1862,22.5986,27.4196,21.3375,12.1255,23.258,65.7575,27.0584,0.0,0.0,34.333016,0,0,0,0,0,1,0,0,5
7,63,24,6.818681086000002,19.55750776,64.45268309,53.04669416,0.5217,0.6031,0.78,0.6905,15.1823,20.4594,26.3138,21.35,12.2487,16.5479,21.4244,17.4385,5.3798,7.7267,25.5643,9.5658,83.0,0.013345,283.54855,0,0,0,0,0,1,0,0,10
