N,P,K,ph,Soiltype,temperature,humidity,rainfall,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,elevation,slope,aspect,latitude,longitude,label
90,42,43,6.502985292000001,Loamy,20.87974371,82.00274423,202.9355362,0.6546,0.7357,0.9917,0.8974,16.6912,22.6852,28.1943,22.195,13.5592,18.5093,22.9743,18.0191,21.5889,40.1188,100.5288,39.6556,88.0,0.006815,78.647467,26.060588,82.655397,rice
85,58,41,7.038096361,Alluvial,21.77046169,80.31964408,226.6555374,0.6234,0.7127,0.9497,0.8842,17.2652,22.5778,28.1197,22.7461,13.9997,18.2237,22.6771,18.392,19.2157,45.9596,116.2591,42.4816,291.0,0.017143,309.185368,20.871325,82.944153,rice
60,55,44,7.840207144,Alluvial,23.00445915,82.3207629,263.9642476,0.6597,0.7349,1.0064,0.9138,17.8438,24.3425,29.8925,23.6258,14.3932,19.7416,24.1414,19.0249,24.0944,52.2095,131.9551,50.3512,52.0,0.008894,126.181038,26.226406,85.946462,rice
74,35,40,6.980400905,Loamy,26.49109635,80.15836264,242.8640342,0.6217,0.7288,0.9589,0.8771,20.9662,27.9141,34.7117,27.4557,16.9925,22.6159,28.089,22.1575,21.63,48.9155,118.475,50.6871,79.0,0.008618,213.592073,26.262462,83.093158,rice
78,42,42,7.628472891,Clay,20.13017482,81.60487287,262.7173405,0.6352,0.7277,0.9886,0.901,16.0243,20.9441,26.9364,20.9821,13.0048,16.9181,21.9038,16.956,26.9199,53.7668,129.6802,54.4946,83.0,0.012264,161.662488,26.816065,83.969626,rice
69,37,42,7.073453503,Alluvial,23.05804872,83.37011772,251.0549998,0.6651,0.7585,1.0105,0.9207,17.9186,23.6128,30.2277,23.8884,14.4599,19.0012,24.4632,19.2768,22.8928,52.9235,126.2508,53.2871,68.0,0.058689,322.337,23.482664,87.394484,rice
69,55,38,5.70080568,Alluvial,22.70883798,82.63941394,271.3248604,0.6768,0.7446,0.9718,0.9238,17.8653,24.2552,29.8512,24.0228,14.459,19.7135,24.174,19.4811,21.893,53.667,135.2231,53.2284,151.0,0.131714,280.905864,23.634931,86.409185,rice
94,53,40,5.718627177999999,Alluvial,20.27774362,82.89408619,241.9741949,0.6581,0.7407,1.0044,0.9079,15.5645,21.456,26.6631,21.1278,12.5228,17.4005,21.5936,17.0723,26.0282,49.4214,119.583,45.4678,162.0,0.091354,293.979532,25.089569,80.631416,rice
89,54,38,6.685346424,Loamy,24.51588066,83.53521629999999,230.4462359,0.6709,0.7377,0.9944,0.9377,19.4543,25.6244,32.0057,25.9437,15.7769,20.7212,25.8768,21.0405,23.0549,45.248,114.9005,46.4384,258.0,0.176985,82.69318,24.217173,86.57873,rice
68,58,38,6.336253525,Alluvial,23.22397386,83.03322691,221.2091958,0.6635,0.7479,0.9994,0.9248,18.4177,24.3719,30.3853,23.8008,14.9341,19.7271,24.5793,19.156,18.2834,49.1683,110.5352,45.7457,615.0,0.656481,344.609291,23.818321,82.569691,rice
