Soilcolor,Ph,K,P,N,Zn,S,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,WD10M,GWETTOP,CLOUD_AMT,WS2M_RANGE,PS,label,longitude,latitude,elevation,slope,aspect
Yellowish brown,5.81,738.231,5.401,0.23,2.976,13.816,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,39.46111111111111,9.688888888888888,2781,89.97749209325389,98.13010235415598
Yellowish brown,5.43,606.382,10.478,0.23,3.077,16.421,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,39.59722222222222,8.277777777777777,2518,89.98408450610016,-126.86989764584402
brown,5.41,386.58,6.847,0.23,6.611,16.557,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,37.138888888888886,9.66111111111111,2484,89.99551720678684,-90.80692945510238
red,5.65,207.086,3.418,0.23,0.460181,16.075,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,38.27777777777778,9.06111111111111,2396,89.99749011920876,-52.04576912486749
red,5.27,317.357,39.282,0.23,2.743,12.558,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,39.275,9.33611111111111,2830,89.98843083056177,19.09349200048561
brown,5.06,148.437,8.48,0.23,4.511,17.755,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,39.7,8.347222222222221,2508,89.98485954305566,-2.726310993906265
red,5.57,303.528,2.147,0.23,1.418,11.203,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,37.016666666666666,9.716666666666663,2315,89.99852044881833,-168.742297027933
brown,5.2,380.599,30.3,0.23,1.772,13.985,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,37.952777777777776,8.119444444444444,-32767,0.0,180.0
red,5.34,401.063,6.382,0.23,2.433,13.069,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,39.32222222222222,9.861111111111107,2261,89.99785249047561,-119.50515140086137
gray,5.95,226.949,27.577,0.23,0.451893,17.067,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,37.138888888888886,9.64722222222222,2514,89.99517157749713,112.28558764683277
red,5.47,217.874,0.83888,0.23,0.723258,11.88,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,38.077777777777776,8.66111111111111,2378,89.98636510279898,46.73570458892839
brown,6.43,417.185,46.842,0.23,1.17,15.386,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,39.827777777777776,9.777777777777777,1747,89.99408913382499,164.9315118405078
red,6.06,149.357,1.505,0.23,0.754669,11.35,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,37.225,9.55,2224,0.0,180.0
brown,5.6,423.766,3.822,0.23,2.093,12.197,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,39.99722222222222,9.51111111111111,926,89.97044567164119,-21.80140948635181
brown,6.03,351.523,66.314,0.23,1.157,17.559,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,37.97222222222222,9.28611111111111,2045,89.99330430125123,-104.62087398863166
gray,5.25,164.48,2.601,0.23,3.62,10.133,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,37.03333333333333,9.894444444444444,2344,89.99439834827822,-151.6309537067214
brown,6.17,77.385,6.166,0.23,0.942004,10.85,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley,39.05833333333333,9.155555555555557,2565,89.98631478935613,-25.46334506187161
black,6.15,116.77,5.055,0.23,1.831,10.016,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.891666666666666,9.83611111111111,1845,89.99416901406616,81.57303097851933
black,5.79,137.386,4.894,0.23,2.773,8.975,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.28333333333333,9.175,1900,89.9971662935062,-124.11447294534128
Reddish brown,5.99,81.482,12.275,0.23,1.082,10.742,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.475,8.155555555555555,1873,89.9502883601024,-38.65980825409009
black,5.9,196.733,2.025,0.23,1.705,14.6,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.68611111111111,9.16111111111111,2617,89.97792918155085,33.690067525979785
Yellowish brown,5.65,388.938,0.412473,0.23,1.237,10.498,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.33055555555556,8.005555555555555,2885,89.99261141729596,111.80140948635182
brown,5.84,146.312,12.296,0.23,1.414,11.191,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.38055555555555,9.488888888888887,2262,89.98010563291302,90.0
red,5.99,55.789,7.601,0.23,1.355,11.674,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.83333333333333,9.73611111111111,2179,89.99655352120163,56.4819913547481
brown,5.8,276.0,4.0,0.321,2.0,9.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,37.38333333333333,9.394444444444444,2279,89.99260543867115,-177.33699923393286
red,6.3,277.673,80.748,0.23,1.209,11.417,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.38333333333333,9.45,2263,89.9117167917031,33.690067525979785
Reddish brown,5.93,234.671,6.988,0.23,0.925432,11.54,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,39.80277777777778,9.527777777777777,1728,89.99736754116621,44.66494078139088
brown,6.05,96.094,7.112,0.23,0.923301,11.728,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.24444444444444,9.108333333333333,2828,89.99674889186709,-124.17698877379291
red,5.63,508.623,3.883,0.23,0.679485,12.999,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,37.88611111111111,8.916666666666666,-32767,0.0,180.0
brown,5.99,403.938,74.965,0.23,1.985,16.624,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley,38.21111111111111,9.33611111111111,2328,89.99780606338103,-178.02506598911802
brown,5.9,347.0,12.0,0.2526,3.5,11.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley,39.39722222222222,8.752777777777776,1827,89.99501788639871,-17.300527191945005
